Source,State,Species,Cultivar,Fat,CP,Ash,ADF,NDF,NFC,DM,carb,cellulose,lignin,Growth Stage,lab,fy,Site,Sample,name,latitude,longitude,Sampling,Planting,Termination,Block,Zadoks
NY-MD-2015,NY,Triticale,TriCal718,2.97,19.73,8.49,24.25,42.65,29.93,,,,3.12,,,,Musgrave,,,,,5/5/2015,,,Blk3,32
NY-MD-2015,NY,Triticale,TriCal718,3.14,24.59,8.39,22.18,40.77,28.12,,,,2.89,,,,Musgrave,,,,,5/5/2015,,,Blk4,31
NY-MD-2015,NY,Triticale,NE426GT,2.74,19.55,7.96,24.02,45.74,28.04,,,,2.6,,,,Musgrave,,,,,5/5/2015,,,Blk1,32
NY-MD-2015,NY,Triticale,NE426GT,2.87,21.92,8.63,22.83,41.43,29.29,,,,2.78,,,,Musgrave,,,,,5/5/2015,,,Blk2,32
NY-MD-2015,NY,Triticale,NE426GT,2.82,20.53,7.11,23.02,43.32,30.11,,,,2.78,,,,Musgrave,,,,,5/5/2015,,,Blk3,32
NY-MD-2015,NY,Triticale,NE426GT,2.93,19.5,7.69,21.86,40.53,33.24,,,,2.78,,,,Musgrave,,,,,5/5/2015,,,Blk4,32
NY-MD-2015,NY,Triticale,TriMark099,2.88,18.67,8.12,23.37,41.95,32.1,,,,2.86,,,,Musgrave,,,,,5/5/2015,,,Blk1,32
NY-MD-2015,NY,Triticale,TriMark099,2.92,18.96,7.79,22.77,39.08,35,,,,3.19,,,,Musgrave,,,,,5/5/2015,,,Blk2,32
NY-MD-2015,NY,Triticale,TriMark099,2.88,19.83,8.99,24.41,44.5,28.1,,,,2.82,,,,Musgrave,,,,,5/5/2015,,,Blk3,32
NY-MD-2015,NY,Triticale,TriMark099,2.98,20.15,7.41,21,38.59,34.84,,,,2.86,,,,Musgrave,,,,,5/5/2015,,,Blk4,32
NY-MD-2015,NY,Barley,Verdant,2.94,18.68,9.75,28.4,49.04,24.86,,,,2.42,,,,Musgrave,,,,,5/11/2015,,,Blk1,37
NY-MD-2015,NY,Barley,Verdant,2.85,18.7,10.04,29.23,49.2,24.59,,,,2.58,,,,Musgrave,,,,,5/11/2015,,,Blk2,37
NY-MD-2015,NY,Barley,Verdant,2.95,16.7,10.38,29.66,49.34,25.84,,,,2.86,,,,Musgrave,,,,,5/11/2015,,,Blk3,37
NY-MD-2015,NY,Barley,Verdant,2.89,19.99,10.27,28.61,48.57,23.91,,,,2.66,,,,Musgrave,,,,,5/11/2015,,,Blk4,37
NY-MD-2015,NY,Barley,Valor,2.76,18.27,9.26,27.43,49.1,25.22,,,,2.83,,,,Musgrave,,,,,5/11/2015,,,Blk1,39
NY-MD-2015,NY,Barley,Valor,2.8,18.03,8.98,27.25,49.02,25.94,,,,2.79,,,,Musgrave,,,,,5/11/2015,,,Blk2,39
NY-MD-2015,NY,Barley,Valor,2.67,21.68,10.23,27.42,48.82,21.86,,,,2.76,,,,Musgrave,,,,,5/11/2015,,,Blk3,37
NY-MD-2015,NY,Barley,Valor,2.79,20.13,9.18,25.99,47.18,25.65,,,,2.62,,,,Musgrave,,,,,5/11/2015,,,Blk4,37
NY-MD-2015,NY,Barley,P919,2.66,16.25,7.88,27.35,49.56,27.73,,,,2.89,,,,Musgrave,,,,,5/11/2015,,,Blk1,41
NY-MD-2015,NY,Barley,P919,2.68,16.26,8.55,27.63,50.06,26.56,,,,2.77,,,,Musgrave,,,,,5/11/2015,,,Blk2,41
NY-MD-2015,NY,Barley,P919,2.62,19.55,8.13,25.79,46.8,27.39,,,,2.69,,,,Musgrave,,,,,5/11/2015,,,Blk3,39
NY-MD-2015,NY,Barley,P919,2.81,16.26,7.51,25.42,45.72,31.6,,,,2.67,,,,Musgrave,,,,,5/11/2015,,,Blk4,39
NY-MD-2015,NY,Barley,Thoroughbred,2.9,19.59,9.67,27.73,48.99,23.9,,,,2.84,,,,Musgrave,,,,,5/11/2015,,,Blk1,39
NY-MD-2015,NY,Barley,Thoroughbred,2.92,18.27,9.28,26.83,47.76,26.45,,,,2.87,,,,Musgrave,,,,,5/11/2015,,,Blk2,39
NY-MD-2015,NY,Barley,Thoroughbred,2.85,20.19,9.62,27.59,48.61,23.92,,,,3.2,,,,Musgrave,,,,,5/11/2015,,,Blk3,37
NY-MD-2015,NY,Barley,Thoroughbred,2.94,17.39,8.36,27.96,48.63,27.35,,,,3.11,,,,Musgrave,,,,,5/11/2015,,,Blk4,37
NY-MD-2015,NY,Cereal rye,Huron,2.83,16.74,8.39,32.92,58.87,17.85,,,,3.56,,,,Musgrave,,,,,5/11/2015,,,Blk1,39
NY-MD-2015,NY,Cereal rye,Huron,2.84,15.81,8.46,33.41,60.1,17.6,,,,3.63,,,,Musgrave,,,,,5/11/2015,,,Blk2,39
NY-MD-2015,NY,Cereal rye,Huron,2.81,17.7,9.66,32.56,58.35,16.19,,,,3.49,,,,Musgrave,,,,,5/11/2015,,,Blk3,39
NY-MD-2015,NY,Cereal rye,Huron,2.83,16.63,8.68,31.94,57.45,19.14,,,,3.46,,,,Musgrave,,,,,5/11/2015,,,Blk4,39
NY-MD-2015,NY,Cereal rye,Spooner,2.83,17.08,8.61,32.69,57.88,17.64,,,,3.75,,,,Musgrave,,,,,5/11/2015,,,Blk1,41
NY-MD-2015,NY,Cereal rye,Spooner,2.95,16.09,8.68,34,60.17,16.86,,,,3.64,,,,Musgrave,,,,,5/11/2015,,,Blk2,41
NY-MD-2015,NY,Cereal rye,Spooner,2.78,15.92,8.34,34.06,60.95,16.75,,,,3.94,,,,Musgrave,,,,,5/11/2015,,,Blk3,41
NY-MD-2015,NY,Cereal rye,Spooner,2.72,17.94,8.23,30.24,54.69,20.97,,,,3.41,,,,Musgrave,,,,,5/11/2015,,,Blk4,41
NY-MD-2015,NY,Cereal rye,Aroostook,2.6,14.43,8.76,38.82,65,13.07,,,,5.26,,,,Musgrave,,,,,5/11/2015,,,Blk1,53
NY-MD-2015,NY,Cereal rye,Aroostook,2.77,14.83,9.33,39.12,65.56,13.51,,,,5.53,,,,Musgrave,,,,,5/11/2015,,,Blk2,53
NY-MD-2015,NY,Cereal rye,Aroostook,2.66,14.91,8.27,36.26,62.24,16.5,,,,4.86,,,,Musgrave,,,,,5/11/2015,,,Blk3,53
NY-MD-2015,NY,Cereal rye,Aroostook,2.76,12.98,8.49,37.87,63.94,15.48,,,,5.26,,,,Musgrave,,,,,5/11/2015,,,Blk4,55
NY-MD-2015,NY,Cereal rye,LakeviewVNS,2.87,17,8.05,31.58,58.01,18.79,,,,3.32,,,,Musgrave,,,,,5/11/2015,,,Blk1,39
NY-MD-2015,NY,Cereal rye,LakeviewVNS,2.77,15.97,9.05,33.93,60.47,16.44,,,,3.72,,,,Musgrave,,,,,5/11/2015,,,Blk2,39
NY-MD-2015,NY,Cereal rye,LakeviewVNS,2.67,18,9.26,32.99,58.57,16.17,,,,3.73,,,,Musgrave,,,,,5/11/2015,,,Blk3,39
NY-MD-2015,NY,Cereal rye,LakeviewVNS,2.96,18.22,8.8,30.85,56.35,18.48,,,,3.22,,,,Musgrave,,,,,5/11/2015,,,Blk4,39
NY-MD-2015,NY,Triticale,TriCal815,2.8,18.6,8.77,29.41,52.54,22.03,,,,3.15,,,,Musgrave,,,,,5/11/2015,,,Blk1,37
NY-MD-2015,NY,Triticale,TriCal815,2.85,16.45,8.75,28.11,50.2,26.29,,,,3.04,,,,Musgrave,,,,,5/11/2015,,,Blk2,37
NY-MD-2015,NY,Triticale,TriCal815,2.72,16.18,8.57,29.45,51.83,24.91,,,,3.37,,,,Musgrave,,,,,5/11/2015,,,Blk3,37
NY-MD-2015,NY,Triticale,TriCal815,2.7,15.77,8.28,28.16,50.4,26.96,,,,3.24,,,,Musgrave,,,,,5/11/2015,,,Blk4,37
NY-MD-2015,NY,Triticale,TriCal718,2.68,19.12,9.37,29.63,52.77,20.97,,,,3.55,,,,Musgrave,,,,,5/11/2015,,,Blk1,37
NY-MD-2015,NY,Triticale,TriCal718,2.93,19.1,10.12,29.11,52.46,20.44,,,,3.15,,,,Musgrave,,,,,5/11/2015,,,Blk2,37
NY-MD-2015,NY,Triticale,TriCal718,2.81,18.98,9.71,29.94,54.2,19.08,,,,3.26,,,,Musgrave,,,,,5/11/2015,,,Blk3,37
NY-MD-2015,NY,Triticale,TriCal718,2.83,19.89,9.2,27.84,50.8,22.07,,,,3.19,,,,Musgrave,,,,,5/11/2015,,,Blk4,37
NY-MD-2015,NY,Triticale,NE426GT,2.46,17.22,8.45,31.33,56.53,19.77,,,,3.59,,,,Musgrave,,,,,5/11/2015,,,Blk1,37
NY-MD-2015,NY,Triticale,NE426GT,2.66,18.41,9.04,30.1,53.92,20.6,,,,3.31,,,,Musgrave,,,,,5/11/2015,,,Blk2,37
NY-MD-2015,NY,Triticale,NE426GT,2.45,17.87,8.47,29.27,53.29,22.21,,,,3.37,,,,Musgrave,,,,,5/11/2015,,,Blk3,37
NY-MD-2015,NY,Triticale,NE426GT,2.69,15.79,7.91,28.24,51.42,26.1,,,,3.37,,,,Musgrave,,,,,5/11/2015,,,Blk4,37
