Account#,Sample#,Date_Processed,Sampled_By,Sampled_For,Description1,Product_Type,Test_Mode,Moisture,Dry_Matter,pH,CP,AD-ICP,ND-ICP_w/oNa2SO3,ND-ICP_w/Na2SO3,SP%CP,ADF,aNDF,aNDFom,Lignin,uNDFom48,NDFD48,uNDFom240,NDFD240,WSC(Sugar),ESC(Sugar),Starch,EE(Fat),TFA(Fat),Ash,Ca,P,Mg,K,S,Adj_CP,NFC,TDN_ADF,NEL3x_ADF,NEG_ADF,NEM_ADF,TDN_OARDC,NEL3x_OARDC,NEG_OARDC,NEM_OARDC,TDN_Milk2013,NEL3x_Milk2013,NEM_Milk2013,NEG_Milk2013,Milk/Ton_Milk2013,RFV,RFQ
7592,00116060046555,6/23/2016,Cornell University,MUSGRAVE 836,R1 Date2 Blk4,7,N9,9.25,90.75,6.23,20.18,0.52,3.23,2.79,48.12,26.66,49.62,48.09,3.03,9.42,80.41,7.22,84.99,9.91,6.04,3.22,3.25,1.64,7.87,0.39,0.44,0.24,3.39,0.25,20.18,24.01,67.93,70.19,35.05,61.23,66.15,68.21,45.53,72.91,68.3,73.85,75.47,47.81,3713,127.81,189.1
7592,00116060046556,6/23/2016,Cornell University,MUSGRAVE 837,R1 Date3 Blk1,7,N9,8.76,91.24,6.23,16.74,0.44,2.68,2.62,40.08,32.92,58.87,57.18,3.56,16.36,71.39,10.23,82.11,9.38,4.8,1.13,2.83,1.46,8.39,0.3,0.45,0.21,3.91,0.21,16.74,17.85,66,68.04,30.27,55.99,61.95,63.54,38.93,65.52,60.71,67.52,63.46,37.07,3242,100.04,136.05
7592,00116060046557,6/23/2016,Cornell University,MUSGRAVE 838,R1 Date3 Blk2,7,N9,8.53,91.47,6.12,15.81,0.47,2.53,2.61,40.04,33.41,60.1,58.37,3.63,16.97,70.93,11.42,80.44,9.25,4.78,1.52,2.84,1.37,8.46,0.28,0.43,0.2,3.82,0.19,15.81,17.6,65.84,67.87,29.47,55.12,61.27,62.78,37.64,64.09,59.89,66.72,61.88,35.64,3187,97.47,131.86
7592,00116060046558,6/23/2016,Cornell University,MUSGRAVE 840,R1 Date3 Blk4,7,N9,8.71,91.29,6.22,16.63,0.5,2.66,2.68,40.59,31.94,57.45,55.8,3.46,15.39,72.42,11.08,80.14,9.84,5.3,1.56,2.83,1.43,8.68,0.32,0.44,0.22,3.74,0.2,16.63,19.14,66.29,68.37,30.79,56.55,62.13,63.74,39.08,65.69,61.42,67.94,64.41,37.93,3277,103.72,141.78
7592,00116060046559,6/23/2016,Cornell University,MUSGRAVE 841,R1 Date4 Blk1,7,N9,7.95,92.05,5.83,12.34,0.67,1.97,2.41,35.09,35.72,62.04,60.25,4.73,21.82,63.78,13.53,77.54,10.84,6.06,1.79,2.98,1.66,8.28,0.31,0.36,0.21,3.27,0.17,12.34,18.88,65.12,67.07,27.55,53.03,59.02,60.27,33.17,59.16,56.4,65.3,55.33,29.67,3041,91.37,110.42
7592,00116060046560,6/23/2016,Cornell University,MUSGRAVE 842,R1 Date4 Blk2,7,N9,8.3,91.7,5.8,12.42,0.6,1.99,2.42,32.93,34.37,60.44,58.7,4.56,19.83,66.22,12.6,78.53,12.43,6.31,2.63,2.93,1.76,8.47,0.33,0.35,0.22,3.19,0.17,12.42,20.07,65.55,67.54,28.2,53.74,59.76,61.1,34.21,60.31,58.16,66.41,57.93,32.05,3132,95.84,120.08
7592,00116060046561,6/23/2016,Cornell University,MUSGRAVE 843,R1 Date4 Blk3,7,N9,8.05,91.95,5.99,13.38,0.55,2.14,2.48,35.43,35.01,60.82,59.07,4.58,20.09,65.99,12.42,78.97,11.76,5.9,0.9,2.64,1.5,8.66,0.32,0.38,0.21,3.58,0.18,13.38,18.87,65.35,67.32,28.39,53.94,59.21,60.48,33.92,59.99,57.37,65.49,57.2,31.38,3071,94.12,117.58
7592,00116060046562,6/23/2016,Cornell University,MUSGRAVE 844,R1 Date4 Blk4,7,N9,8.43,91.57,5.96,12.97,0.53,2.08,2.33,34,32.16,56.88,55.25,4.09,17.05,69.14,11.55,79.1,13.78,6.76,2.94,2.99,1.86,7.94,0.31,0.36,0.21,3.21,0.17,12.97,23.31,66.23,68.3,29.8,55.48,62.23,63.85,37.67,64.13,61.52,69.35,62.99,36.64,3344,104.44,137.27
7592,00116060046563,6/23/2016,Cornell University,MUSGRAVE 845,R1 Date5 Blk1,7,N9,8.4,91.6,5.22,12.11,0.56,1.94,1.74,55.57,42.08,69.78,66.43,5.57,26.6,59.96,14.95,77.5,7.26,2.05,0.72,2.45,0.84,9.06,0.26,0.36,0.19,3.3,0.16,12.11,12.3,63.16,64.88,24.42,49.64,54.04,54.73,26.41,51.79,49.48,58.83,44.87,19.99,2592,74.83,83.26
7592,00116060046564,6/23/2016,Cornell University,MUSGRAVE 846,R1 Date5 Blk2,7,N9,8.3,91.7,5.31,12.47,0.73,2,1.92,55.49,41.93,68.79,65.13,5.59,26.24,59.71,14.73,77.38,6.04,1.17,0.63,2.82,0.89,9.18,0.31,0.37,0.21,3.16,0.17,12.47,13.25,63.21,64.94,24.95,50.21,54.19,54.89,26.7,52.1,50.01,59.4,45.85,20.9,2626,75.86,84.49
7592,00116060046565,6/23/2016,Cornell University,MUSGRAVE 847,R1 Date5 Blk3,7,N9,8.45,91.55,5.29,12.96,0.62,2.07,1.72,58.41,41.58,68.54,64.88,5.45,25.63,60.5,14.44,77.74,6.89,1.09,0.89,2.54,0.76,9.19,0.28,0.38,0.19,3.3,0.16,12.96,12.93,63.32,65.06,25.21,50.49,54.4,55.13,27.25,52.7,50.25,59.35,46.43,21.44,2630,76.66,85.93
7592,00116060046566,6/23/2016,Cornell University,MUSGRAVE 848,R1 Date5 Blk4,7,N9,8.27,91.73,5.27,11.79,0.55,1.89,1.8,52.5,41,68.74,65.92,5.34,25.97,60.6,14.78,77.58,7.6,1.72,0.22,2.59,0.98,8.91,0.28,0.35,0.19,3.17,0.16,11.79,13.2,63.5,65.26,24.74,49.98,54.9,55.68,27.45,52.92,50.43,59.71,46.17,21.2,2654,77.27,86.88
7592,00116060046567,6/23/2016,Cornell University,MUSGRAVE 849,R1 Date6 Blk1,7,N9,8.17,91.83,5.08,10.33,0.69,1.65,1.68,55.28,44.24,70.75,67,6.2,29.83,55.48,18.34,72.63,6.9,2.95,0.3,2.42,0.74,9.22,0.28,0.33,0.18,2.94,0.14,10.33,13.39,62.49,64.14,23.43,48.57,52.39,52.89,23.25,48.37,46.62,57.27,39.64,15.08,2452,71.74,71.43
7592,00116060046568,6/23/2016,Cornell University,MUSGRAVE 850,R1 Date6 Blk2,7,N9,8.11,91.89,5.16,10.62,0.65,1.7,1.71,55.84,44.51,70.32,66.55,6.25,29.97,54.97,18.15,72.73,7.38,3.02,0.24,2.33,0.7,9.63,0.28,0.35,0.18,3.1,0.14,10.62,13.21,62.41,64.05,23.7,48.86,52.05,52.51,22.93,48.03,46.14,56.77,39.04,14.52,2415,71.89,70.58
7592,00116060046569,6/23/2016,Cornell University,MUSGRAVE 851,R1 Date6 Blk3,7,N9,8.36,91.64,5.08,11.25,0.63,1.8,1.6,56.71,44.08,70.47,66.8,6.28,28.4,57.49,17.7,73.5,7.33,3.58,0.27,2.27,0.7,9.05,0.27,0.35,0.18,3.17,0.14,11.25,12.8,62.55,64.2,23.86,49.04,52.5,53.01,23.85,49.03,47.81,57.87,41.91,17.22,2508,71.9,76.16
7592,00116060046570,6/23/2016,Cornell University,MUSGRAVE 852,R1 Date6 Blk4,7,N9,8.07,91.93,4.99,8.76,0.59,1.4,1.6,49.89,44.72,73.13,69.48,6.12,31.06,55.3,18.37,73.56,8.11,3.13,0.16,2.46,0.92,8.83,0.24,0.3,0.16,2.79,0.12,8.76,12.61,62.35,63.98,21.96,46.98,52.45,52.96,22.68,47.76,45.83,56.84,37.68,13.24,2422,68.73,68.23
7592,00116060046571,6/23/2016,Cornell University,MUSGRAVE 853,R1 Date7 Blk1,7,N9,8.03,91.97,5.32,8.23,0.51,1.32,1.77,35.6,47.6,74.74,71.85,6.79,34.76,51.62,22.03,69.34,8.37,3.66,0.44,2.23,0.88,8.72,0.2,0.32,0.13,2.95,0.12,8.23,11.09,61.46,62.99,21.13,46.1,50.89,51.22,20.27,45.18,42.66,54.95,32.43,8.27,2266,64.67,58.49
